Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
997,1786023688-997,N/A,Oberoi Realty Urban Heights,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹123.5 Lac,N/A,N/A,1576 sqft,Plot Area,BTM Layout,Bangalore,Central,"BTM Layout, Bangalore",400097,Oberoi Realty Urban Heights,Oberoi Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,8,12,1 Covered,North-East,Unfurnished,₹7836 /sqft,"Security, Swimming Pool, Clubhouse, Elevator, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,997,7410000,8027500,8645000,9262500,9880000,10497500,11115000,11732500,12103000,12350000
998,1786023688-998,N/A,Hiranandani Group Central Villas,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹182.9 Lac,N/A,N/A,2054 sqft,Plot Area,JP Nagar,Bangalore,East,"JP Nagar, Bangalore",400098,Hiranandani Group Central Villas,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,9,13,1 Covered,North-East,Unfurnished,₹8905 /sqft,"Security, Swimming Pool, Parking, Garden, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,998,10974000,11888500,12803000,13717500,14632000,15546500,16461000,17375500,17924200,18290000
999,1786023688-999,N/A,Lodha Group Valley Towers,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹169.6 Lac,N/A,N/A,2344 sqft,Carpet Area,C V Raman Nagar,Bangalore,South,"C V Raman Nagar, Bangalore",400099,Lodha Group Valley Towers,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,10,14,1 Covered,East,Unfurnished,₹7235 /sqft,"Gymnasium, Tennis Court, Elevator, Security, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,999,10176000,11024000,11872000,12720000,13568000,14416000,15264000,16112000,16620800,16960000
1000,1786023688-1000,N/A,Aparna Constructions Heights Park,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹53 Lac,N/A,N/A,734 sqft,Plot Area,Varthur,Bangalore,West,"Varthur, Bangalore",400100,Aparna Constructions Heights Park,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,11,15,1 Covered,North,Semi-Furnished,₹7221 /sqft,"Elevator, Parking, Clubhouse, Security, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,1000,3180000,3445000,3710000,3975000,4240000,4505000,4770000,5035000,5194000,5300000
1001,1786023688-1001,N/A,Brigade Group Palms Court,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹95.7 Lac,N/A,N/A,1047 sqft,Plot Area,Whitefield,Bangalore,South,"Whitefield, Bangalore",400101,Brigade Group Palms Court,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,12,16,1 Covered,North,Fully-Furnished,₹9140 /sqft,"Garden, Security, Parking, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,1001,5742000,6220500,6699000,7177500,7656000,8134500,8613000,9091500,9378600,9570000
1002,1786023688-1002,N/A,Puravankara Vista Gardens,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹115.4 Lac,N/A,N/A,1472 sqft,Super Built-up Area,Koramangala,Bangalore,North,"Koramangala, Bangalore",400102,Puravankara Vista Gardens,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,13,17,1 Covered,West,Semi-Furnished,₹7840 /sqft,"Garden, Elevator, Parking, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,1002,6924000,7501000,8078000,8655000,9232000,9809000,10386000,10963000,11309200,11540000
1003,1786023688-1003,N/A,Rustomjee Avenue Haven,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹145.3 Lac,N/A,N/A,1949 sqft,Plot Area,Indiranagar,Bangalore,Central,"Indiranagar, Bangalore",400103,Rustomjee Avenue Haven,Rustomjee,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,14,18,1 Covered,North,Semi-Furnished,₹7455 /sqft,"Power Backup, Swimming Pool, Security, Elevator, Garden, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,1003,8718000,9444500,10171000,10897500,11624000,12350500,13077000,13803500,14239400,14530000
1004,1786023688-1004,N/A,Tata Housing Oasis Enclave,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹245.6 Lac,N/A,N/A,2546 sqft,Super Built-up Area,HSR Layout,Bangalore,West,"HSR Layout, Bangalore",400104,Tata Housing Oasis Enclave,Tata Housing,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,15,19,1 Covered,North-East,Unfurnished,₹9647 /sqft,"Clubhouse, Elevator, Power Backup, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,1004,14736000,15964000,17192000,18420000,19648000,20876000,22104000,23332000,24068800,24560000
1005,1786023688-1005,N/A,Mahindra Lifespaces Solitaire Square,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹56.4 Lac,N/A,N/A,669 sqft,Super Built-up Area,Electronic City,Bangalore,East,"Electronic City, Bangalore",400105,Mahindra Lifespaces Solitaire Square,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,16,20,1 Covered,East,Unfurnished,₹8430 /sqft,"Power Backup, Garden, Parking, Swimming Pool, Clubhouse, Security, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,1005,3384000,3666000,3948000,4230000,4512000,4794000,5076000,5358000,5527200,5640000
1006,1786023688-1006,N/A,Casagrand Signature Plaza,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹92.3 Lac,N/A,N/A,1039 sqft,Built-up Area,Hebbal,Bangalore,Central,"Hebbal, Bangalore",400106,Casagrand Signature Plaza,Casagrand,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,17,21,1 Covered,East,Fully-Furnished,₹8884 /sqft,"Elevator, Jogging Track, Garden, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,1006,5538000,5999500,6461000,6922500,7384000,7845500,8307000,8768500,9045400,9230000
1007,1786023688-1007,N/A,Kolte-Patil Crown Terraces,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹100.7 Lac,N/A,N/A,1443 sqft,Super Built-up Area,Yelahanka,Bangalore,South,"Yelahanka, Bangalore",400107,Kolte-Patil Crown Terraces,Kolte-Patil,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,18,22,1 Covered,East,Fully-Furnished,₹6979 /sqft,"Tennis Court, Power Backup, Clubhouse, Parking, Gymnasium, Swimming Pool, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,1007,6042000,6545500,7049000,7552500,8056000,8559500,9063000,9566500,9868600,10070000
1008,1786023688-1008,N/A,Piramal Realty Royal Residences,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹170.3 Lac,N/A,N/A,1934 sqft,Plot Area,Sarjapur Road,Bangalore,South,"Sarjapur Road, Bangalore",400108,Piramal Realty Royal Residences,Piramal Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,1,5,1 Covered,North-East,Fully-Furnished,₹8806 /sqft,"Parking, Gymnasium, Clubhouse, Security, Swimming Pool, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,1008,10218000,11069500,11921000,12772500,13624000,14475500,15327000,16178500,16689400,17030000
1009,1786023688-1009,N/A,Prestige Group Grand Greens,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹162.1 Lac,N/A,N/A,2311 sqft,Plot Area,Bellandur,Bangalore,East,"Bellandur, Bangalore",400109,Prestige Group Grand Greens,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,2,6,1 Covered,East,Unfurnished,₹7014 /sqft,"Tennis Court, Garden, Swimming Pool, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,1009,9726000,10536500,11347000,12157500,12968000,13778500,14589000,15399500,15885800,16210000
1010,1786023688-1010,N/A,DLF Limited Emerald Estate,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹41.1 Lac,N/A,N/A,554 sqft,Carpet Area,Thanisandra,Bangalore,West,"Thanisandra, Bangalore",400110,DLF Limited Emerald Estate,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,3,7,1 Covered,East,Unfurnished,₹7419 /sqft,"Garden, Security, Elevator, Swimming Pool, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,1010,2466000,2671500,2877000,3082500,3288000,3493500,3699000,3904500,4027800,4110000
1011,1786023688-1011,N/A,Godrej Properties Serene Heights,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹100.1 Lac,N/A,N/A,986 sqft,Built-up Area,Marathahalli,Bangalore,South,"Marathahalli, Bangalore",400111,Godrej Properties Serene Heights,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,4,8,1 Covered,North,Semi-Furnished,₹10152 /sqft,"Gymnasium, Clubhouse, Elevator, Tennis Court, Jogging Track, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,1011,6006000,6506500,7007000,7507500,8008000,8508500,9009000,9509500,9809800,10010000
1012,1786023688-1012,N/A,Sobha Limited Skyline Villas,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹113.1 Lac,N/A,N/A,1599 sqft,Plot Area,Jayanagar,Bangalore,North,"Jayanagar, Bangalore",400112,Sobha Limited Skyline Villas,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,5,9,1 Covered,North,Semi-Furnished,₹7073 /sqft,"Garden, Security, Power Backup, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,1012,6786000,7351500,7917000,8482500,9048000,9613500,10179000,10744500,11083800,11310000
1013,1786023688-1013,N/A,Oberoi Realty Imperia Towers,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹176.2 Lac,N/A,N/A,2029 sqft,Super Built-up Area,Rajajinagar,Bangalore,East,"Rajajinagar, Bangalore",400113,Oberoi Realty Imperia Towers,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,6,10,1 Covered,West,Unfurnished,₹8684 /sqft,"Garden, Power Backup, Clubhouse, Swimming Pool, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,1013,10572000,11453000,12334000,13215000,14096000,14977000,15858000,16739000,17267600,17620000
1014,1786023688-1014,N/A,Hiranandani Group Elegance Park,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹170.9 Lac,N/A,N/A,2444 sqft,Super Built-up Area,Banashankari,Bangalore,West,"Banashankari, Bangalore",400114,Hiranandani Group Elegance Park,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,7,11,1 Covered,West,Unfurnished,₹6993 /sqft,"Security, Clubhouse, Gymnasium, Parking, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,1014,10254000,11108500,11963000,12817500,13672000,14526500,15381000,16235500,16748200,17090000
1015,1786023688-1015,N/A,Lodha Group Urban Court,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹72 Lac,N/A,N/A,707 sqft,Super Built-up Area,Malleshwaram,Bangalore,Central,"Malleshwaram, Bangalore",400115,Lodha Group Urban Court,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,8,12,1 Covered,East,Unfurnished,₹10184 /sqft,"Gymnasium, Jogging Track, Elevator, Security, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,1015,4320000,4680000,5040000,5400000,5760000,6120000,6480000,6840000,7056000,7200000
1016,1786023688-1016,N/A,Aparna Constructions Central Gardens,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹103 Lac,N/A,N/A,1130 sqft,Carpet Area,Kaggadasapura,Bangalore,Central,"Kaggadasapura, Bangalore",400116,Aparna Constructions Central Gardens,Aparna Constructions,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,9,13,1 Covered,North-East,Unfurnished,₹9115 /sqft,"Jogging Track, Clubhouse, Garden, Tennis Court, Security, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,1016,6180000,6695000,7210000,7725000,8240000,8755000,9270000,9785000,10094000,10300000
1017,1786023688-1017,N/A,Brigade Group Valley Haven,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹121.4 Lac,N/A,N/A,1625 sqft,Super Built-up Area,BTM Layout,Bangalore,South,"BTM Layout, Bangalore",400117,Brigade Group Valley Haven,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,10,14,1 Covered,West,Unfurnished,₹7471 /sqft,"Swimming Pool, Tennis Court, Clubhouse, Elevator, Security, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,1017,7284000,7891000,8498000,9105000,9712000,10319000,10926000,11533000,11897200,12140000
1018,1786023688-1018,N/A,Puravankara Heights Enclave,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹138.5 Lac,N/A,N/A,2036 sqft,Plot Area,JP Nagar,Bangalore,East,"JP Nagar, Bangalore",400118,Puravankara Heights Enclave,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,11d ago,11,15,1 Covered,North-East,Semi-Furnished,₹6803 /sqft,"Power Backup, Security, Swimming Pool, Parking, Tennis Court, Clubhouse, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,1018,8310000,9002500,9695000,10387500,11080000,11772500,12465000,13157500,13573000,13850000
1019,1786023688-1019,N/A,Rustomjee Palms Square,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹200.1 Lac,N/A,N/A,2344 sqft,Plot Area,C V Raman Nagar,Bangalore,North,"C V Raman Nagar, Bangalore",400119,Rustomjee Palms Square,Rustomjee,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,12,16,1 Covered,West,Unfurnished,₹8537 /sqft,"Jogging Track, Security, Garden, Tennis Court, Swimming Pool, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,1019,12006000,13006500,14007000,15007500,16008000,17008500,18009000,19009500,19609800,20010000
1020,1786023688-1020,N/A,Tata Housing Vista Plaza,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹48.5 Lac,N/A,N/A,701 sqft,Built-up Area,Varthur,Bangalore,West,"Varthur, Bangalore",400120,Tata Housing Vista Plaza,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,13,17,1 Covered,East,Fully-Furnished,₹6919 /sqft,"Power Backup, Swimming Pool, Security, Garden, Jogging Track, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,1020,2910000,3152500,3395000,3637500,3880000,4122500,4365000,4607500,4753000,4850000
1021,1786023688-1021,N/A,Mahindra Lifespaces Avenue Terraces,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹120.3 Lac,N/A,N/A,1180 sqft,Super Built-up Area,Whitefield,Bangalore,East,"Whitefield, Bangalore",400121,Mahindra Lifespaces Avenue Terraces,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,14,18,1 Covered,North-East,Unfurnished,₹10195 /sqft,"Elevator, Security, Parking, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,1021,7218000,7819500,8421000,9022500,9624000,10225500,10827000,11428500,11789400,12030000
1022,1786023688-1022,N/A,Casagrand Oasis Residences,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹131.8 Lac,N/A,N/A,1411 sqft,Carpet Area,Koramangala,Bangalore,West,"Koramangala, Bangalore",400122,Casagrand Oasis Residences,Casagrand,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,15,19,1 Covered,North,Unfurnished,₹9341 /sqft,"Gymnasium, Garden, Security, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,1022,7908000,8567000,9226000,9885000,10544000,11203000,11862000,12521000,12916400,13180000
